SERVICE_REQUEST_TYPE_CODE,STOP_DATE,VALID_LOCATION_IS_REQD_IND,DEFAULT_GEO_AREA_CODE,SECONDARY_GEO_AREA_CODE,GEO_AREA_IS_REQD_IND,GIS_Name,GIS_FIELD,VALUES
RAAM1,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM9,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM7,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM2,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM4,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM5,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM6,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
RAAM3,,Y,CMAINT,COMDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW6090,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW6086,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW6079,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW6073,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW395,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW394,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW120,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
PW402,,Y,CMAINT,RIFDIST,Y,MDC.StreetMaint,MAINTCODE,MAINTCODE = 'CO' OR 'CM' OR 'CC' OR (MAINTCODE = CC and MDC.Municipality_poly.MUNICID = 30)
